102 67 0.000772 -0.000185 0.001724 267 332 0.000156 0.001681 0.000234 
79 53 0.000853 -0.000107 0.002727 268 332 0.000156 0.001681 0.000234 
197 125 0.000625 -0.000287 0.000984 238 336 0.000156 0.001681 0.000234 
181 102 0.000439 -0.000313 0.000838 232 337 0.000156 0.001681 0.000234 
103 44 0.000953 -0.000396 0.003640 258 333 0.000156 0.001681 0.000234 
39 78 0.005491 -0.000367 0.005359 277 331 0.000156 0.001681 0.000234 
153 98 0.001220 -0.000549 0.001960 261 361 0.000156 0.001681 0.000234 
170 89 0.001036 -0.000589 0.000879 248 359 0.000156 0.001681 0.000234 
195 109 0.001586 0.000010 0.001744 246 358 0.000156 0.001681 0.000234 
54 108 0.001364 0.000184 0.008217 363 497 0.000156 0.001681 0.000234 
138 76 0.001692 -0.000466 0.001009 315 494 0.000156 0.001681 0.000234 
51 35 0.009268 -0.012509 0.030743 366 497 0.000156 0.001681 0.000234 
168 130 0.000625 -0.000265 0.001696 325 495 0.000156 0.001681 0.000234 
180 121 0.000484 -0.000389 0.001426 329 495 0.000156 0.001681 0.000234 
70 77 0.000937 -0.000434 0.002331 258 377 0.000156 0.001681 0.000234 
83 136 0.002405 -0.000116 0.007112 267 373 0.000156 0.001681 0.000234 
50 146 0.001610 0.000248 0.006965 275 369 0.000156 0.001681 0.000234 
116 122 0.001371 -0.000247 0.002446 260 376 0.000156 0.001681 0.000234 
69 62 0.001023 -0.000395 0.001490 271 371 0.000156 0.001681 0.000234 
181 125 0.000338 -0.000174 0.000689 248 382 0.000156 0.001681 0.000234 
70 86 0.006009 -0.006271 0.015095 264 374 0.000156 0.001681 0.000234 
181 34 0.001883 0.001022 0.002759 280 453 0.000156 0.001681 0.000234 
151 117 0.001456 -0.000761 0.005186 291 458 0.000156 0.001681 0.000234 
222 155 0.027222 0.015354 0.012688 269 448 0.000156 0.001681 0.000234 
94 66 0.001543 0.000241 0.004877 335 476 0.000156 0.001681 0.000234 
134 91 0.002449 -0.001263 0.001186 297 460 0.000156 0.001681 0.000234 
237 156 0.012787 0.003172 0.004325 269 448 0.000156 0.001681 0.000234 
225 143 0.003089 -0.000081 0.002009 278 452 0.000156 0.001681 0.000234 
123 128 0.015169 -0.001518 0.006595 297 460 0.000156 0.001681 0.000234 
182 103 0.000726 -0.000619 0.001152 295 459 0.000156 0.001681 0.000234 
217 105 0.004612 -0.004391 0.004997 270 449 0.000156 0.001681 0.000234 
111 17 0.001728 -0.001819 0.007730 318 469 0.000156 0.001681 0.000234 
200 134 0.002014 -0.000897 0.001692 297 460 0.000156 0.001681 0.000234 
146 96 0.001726 -0.000517 0.001119 293 458 0.000156 0.001681 0.000234 
117 87 0.002489 -0.000525 0.001811 338 477 0.000156 0.001681 0.000234 
67 63 0.000696 -0.000551 0.001094 212 272 0.000156 0.001681 0.000234 
16 128 0.006778 -0.001224 0.003866 214 270 0.000156 0.001681 0.000234 
141 53 0.000352 -0.000067 0.000419 195 284 0.000156 0.001681 0.000234 
18 110 0.007010 -0.002685 0.007185 214 270 0.000156 0.001681 0.000234 
83 33 0.001173 -0.001020 0.002911 196 283 0.000156 0.001681 0.000234 
74 60 0.000576 -0.000295 0.001259 211 272 0.000156 0.001681 0.000234 
35 87 0.003770 -0.002219 0.002107 218 267 0.000156 0.001681 0.000234 
24 88 0.004618 -0.002002 0.003205 273 312 0.000156 0.001681 0.000234 
104 98 0.001986 -0.000459 0.002175 251 318 0.000156 0.001681 0.000234 
100 88 0.001462 -0.000582 0.001796 256 316 0.000156 0.001681 0.000234 
